what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335057699950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335057700142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335057700334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335057700526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335057713101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335057719236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335057720657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1335057724043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335057725860
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1335057730637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335057732529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335057733710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335057734093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335057734445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335057740964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335057798585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335057799359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335057799817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335057801261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335057802599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335057826988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335057846928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335058065525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335058077691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1335058080753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335058082890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335058090553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1335058098816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335058100690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335058106312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1335058111916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335058115375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335058116476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335058132935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335058161025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335058175950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335058176597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1335058181967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1335058182370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335058189421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335058190734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335058227160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335058239412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335058242196
